ID;ancient_toponym;modern_location;longitude;latitude
2.04.03.01;Western Mouth of the Anas;Mouth of the Guadiana near Aesuris;-7,404786;37,178328
2.04.03.02;Eastern Mouth of the Anas;Mouth of the Guadiana near Lepe;-7,169964;37,219769
2.04.03.03;Eastward bend of the Anas;;;
2.04.03.04;Baetica-Lusitania-Tarraconensis Boundary;;;
2.04.03.07;Baetica-Tarraconensis Boundary;;;
2.04.03.08;Source of the Anas;;;
2.04.05.04;Onoba Aestuaria;Huelva;-6,939083;37,233064
2.04.05.05;Western Mouth of the Baetis;Mouth of the Guadalquivir near Villamanrique;-6,256708;37,259097
2.04.05.06;Eastern Mouth of the Baetis;Mouth of the Guadalquivir near Coria del R°o;-6,056856;37,265447
2.04.05.07;Source of the Baetis;;;
2.04.05.08;Estuary near Asta;near Mesas de Asta;-6,134533;36,874639
2.04.05.10;Harbor of Menestheus;near Puerto de Santa Maria;-6,194219;36,618764
2.04.05.11;Temple of Hera;Cabo Trafalgar;-6,035278;36,183333
2.04.05.12;Mouth of the Baelo;Mouth of the R°o del Valle;-5,68875;36,069039
2.04.05.13;Baelo;Bolonia;-5,775114;36,088606
2.04.06.02;Mellaria;Valdevaqueros;-5,682342;36,069472
2.04.06.03;Iulia Traducta;near Algeciras;-5,447122;36,127444
2.04.06.04;Barbesula;Torre de Guadiaro;-5,275231;36,294581
2.04.06.05;Carteia;El Rocadillo;-5,412142;36,185272
2.04.06.06;Calpe;Rock of Gibraltar;-5,344367;36,122681
2.04.07.02;Mouth of the Barbesula;Mouth of the Guadiaro;-5,280411;36,283994
2.04.07.03;Suel;Fuengirola;-4,628953;36,525194
2.04.07.04;Mouth of the Salduba;Mouth of the Guadalhorce;-4,454814;36,672667
2.04.07.05;Malaca;M†laga;-4,420003;36,721253
2.04.07.06;Maenoba;Cerro del Mar;-4,103531;36,740503
2.04.07.07;Sexi;Almu§Çcar;-3,692008;36,732658
2.04.07.08;Selambina;Salobre§a;-3,588681;36,742689
2.04.07.09;?????;Unknown cape;-3,234;36,742689
2.04.07.10;Abdara;Adra;-3,020675;36,749022
2.04.07.11;Portus Magnus;Golfo de Almer°a;-2,471667;36,833611
2.04.07.12;Cape of Charidemos;Cabo de Gata;-2,193028;36,721472
2.04.08.08;Baria;Vera;-1,773056;37,247778
2.04.10.03;Segida [Augurina];near Palma del R°o ;-5,239633;37,67235
2.04.10.04;Ilourgis;Cortijo de M†quiz, near Meng°bar;-3,762261;37,971208
2.04.10.05;Vogia;Estacion Elevadora;-4,098122;38,072672
2.04.10.06;Calpurniana;Ca§ete de la Torres;-4,044147;38,870394
2.04.10.07;Caecila;;;
2.04.10.08;Biniana;;;
2.04.11.01;Corduba;C¢rdoba;-4,780347;37,882369
2.04.11.02;Ulia;Montemayor;-4,698078;37,649075
2.04.11.03;Obulco;Porcuna;-4,185225;37,871256
2.04.11.04;Arcilacis [Baeticae];;;
2.04.11.05;Detumo;near Posadas;-5,106075;37,801581
2.04.11.06;Murgi;near Dal°as;-2,845772;36,794106
2.04.11.07;Salduba;near Gualdalmansa;-5,065419;36,450936
2.04.11.08;Tucci;Martos;-3,960975;37,718328
2.04.11.09;Sala;;;
2.04.11.10;Balda;Cortijo del Castill¢n;-4,631164;37,034889
2.04.11.11;Ebora [Baeticae];Cortijo de Evora;-6,289667;36,792169
2.04.11.12;Onoba;Jimena de la Frontera;-5,455647;36,432989
2.04.11.13;Illipoula Megale;;;
2.04.11.14;Selia;;;
2.04.11.15;Vescis;;;
2.04.11.16;Osqua ;near Villanueva de la Concepci¢n;-4,547667;36,922481
2.04.11.17;Artigis;;;
2.04.11.18;Calecula;Daragoleja;-3,855631;37,211092
2.04.11.19;Lacibis;Cortijo de Clavijo;-5,317428;36,797164
2.04.11.20;Sacilis;AlcorrucÇn;-4,487917;37,988814
2.04.11.21;Lacippo;Alecipe, near Casares;-5,293681;36,441928
2.04.11.22;Illiberis;Medina Elvira, near Atarfe;-3,707283;37,23755
2.04.12.03;Canaca;;;
2.04.12.04;Seria;Jerez de los Caballeros;-6,765283;38,321569
2.04.12.05;Osca;;;
2.04.12.06;Caeriana;;;
2.04.12.07;Urium;Minas de Riotinto;-6,599336;37,699647
2.04.12.08;Illipula;Niebla;-6,677631;37,361211
2.04.12.09;Segida [Restituta Iulia];;;
2.04.12.10;Ptoukki;Cabeza de Hortales;-5,557667;36,737497
2.04.12.11;Sala;Utrera;-5,708131;37,128892
2.04.12.12;Nabrissa;Lebrija;-6,073619;36,924156
2.04.12.13;Ugia;Torres de Alocaz;-5,829714;36,989225
2.04.12.14;Asta;Cortijo el Rosario, near Mesas de Asta;-6,179614;36,787608
2.04.12.15;Corticata;;;
2.04.12.16;Laelia;Albaida del Aljarafe;-6,166461;37,426508
2.04.13.01;Italica;Santiponce;-6,045128;37,441581
2.04.13.02;Maxilua;;;
2.04.13.03;Ugia;Torres de Alocaz;-5,829714;36,989225
2.04.13.04;Carissa;Cortijo de Carija;-5,731347;36,876353
2.04.13.05;Calduba;Sierra de Aznar;-5,704942;36,696575
2.04.13.06;Paesula;;;
2.04.13.07;Saguntia;Gigonza;-5,783133;36,552011
2.04.13.08;Asido;Medina Sidonia ;-5,929531;36,463111
2.04.13.09;Nertobriga [Baeticae];Sierra del Coto, near Fregenal de la Sierra;-6,610878;38,117169
2.04.13.10;Contributa;;;
2.04.13.11;Regina;near Casas de Reina;-5,950678;38,202581
2.04.13.12;Cursu;;;
2.04.13.13;Mirobriga [Baeticae];Capilla;-5,084397;38,820444
2.04.13.14;Spoletinum;;;
2.04.13.15;Illipa Megale;Alcal† del R°o;-5,978981;37,519458
2.04.14.01;Hispalis;Sevilla;-5,994631;37,393564
2.04.14.02;Obucola;Castillo de la Monclova;-5,315614;37,516947
2.04.14.03;Calecula;;;
2.04.14.04;Oleastron;;;
2.04.14.05;Urso;Osuna;-5,095653;37,238911
2.04.14.06;Baesippo;Barbate;-5,915728;36,197733
2.04.14.07;Fornacis;;;
2.04.14.08;Arsa;;;
2.04.14.09;Asyla;;;
2.04.14.10;Astigis ;êcija;-5,079589;37,540928
2.04.14.11;Carmo;Carmona;-5,639742;37,474367
2.04.15.02;Arucci;Aroche;-6,948544;37,969111
2.04.15.03;Arunda;Ronda;-5,163608;36,741925
2.04.15.04;Curiga ;Monesterio;-6,272761;38,088764
2.04.15.05;Acinippo;Ronda la Vieja;-5,239336;36,831689
2.04.15.06;Vama;Salvatierra de los Barros;-6,684236;38,490453
2.04.15.08;Marianum Mount;Sierra Morena;-6,236008;38,180306
2.04.15.09;Illipula Mount;;;
2.04.16.03;Gades;C†diz;-6,298039;36,532847
2.05.01.04;Mouth of the Durius;Mouth of the Douro;-8,660622;41,141625
2.05.01.06;Tarraconensis-Lusitania-Durius Boundary;;;
2.05.01.07;Source of the Durius;;;
2.05.03.04;Balsa;near Tavira;-7,646867;37,130044
2.05.03.05;Ossonoba;near Faro;-7,932236;37,016908
2.05.03.06;Sacred Cape;Cabo de S∆o Vicente;-8,997392;37,022139
2.05.03.07;Mouth of the Kallipous;Mouth of the Sado;-8,749869;38,440247
2.05.03.08;Salacia;Alc†cer do Sal;-8,513351;38,372483
2.05.03.09;Caetobrix;Set£bal;-8,891389;38,525117
2.05.04.02;Cape Barbarion;Cabo Espichel;-9,221386;38,410875
2.05.04.03;Oliosipon;Lisboa;-9,133375;38,713678
2.05.04.04;Mouth of the Tagus;Mouth of the Tejo;-9,217472;38,684794
2.05.04.05;Tarraconensis-Lusitania-Tagus Boundary;;;
2.05.04.06;Source of the Tagus;;;
2.05.04.07;Selene Mountain;Cabo de Roca;-9,496406;38,779014
2.05.04.08;Mouth of the Monda;Mouth of the Mondego;-8,861908;40,145572
2.05.04.09;Mouth of the Vacua;Mouth of the Rio Vouga;-8,610117;40,713189
2.05.05.04;Pax Iulia;Beja;-7,862733;38,015375
2.05.05.05;Iulia Myrtilis;MÇrtola;-7,661122;37,641694
2.05.06.03;Laccobriga;Lagos;-8,673925;37,100972
2.05.06.04;Caepiana;;;
2.05.06.05;Braitolaion;;;
2.05.06.06;Mirobriga [Lusitaniae];near Santiago do CacÇm;-8,683694;38,010217
2.05.06.07;Arcobriga [Lusitaniae];;;
2.05.06.08;Meribriga;;;
2.05.06.09;Katraleukos;;;
2.05.06.10;Pyrgoi Leukoi;;;
2.05.06.11;Arandis;near Ourique;-8,210908;37,759636
2.05.07.02;Lauare;;;
2.05.07.03;Aritium;near Alvega;-8,045564;39,465153
2.05.07.04;Selium;near Tomar;-8,411344;39,604011
2.05.07.05;Elbocoris;;;
2.05.07.06;Araducta;;;
2.05.07.07;Verurium;;;
2.05.07.08;Velladis;;;
2.05.07.09;Aeminium;Coimbra;-8,428381;40,209261
2.05.07.10;Chretina;;;
2.05.07.11;Arabriga;;;
2.05.07.12;Scalabis Colonia;SantarÇm;-8,684586;39,235564
2.05.07.13;Tacubis;ConstÉncia;-8,338528;39,477308
2.05.07.14;Concordia;;;
2.05.07.15;Talabriga;;;
2.05.07.16;Rusticana;Galisteo;-6,267519;39,975614
2.05.08.01;Mendeculia;;;
2.05.08.02;Caurium;Coria;-6,536056;39,987292
2.05.08.03;Turmogum;;;
2.05.08.04;Burdua;near Ermita de Nuestra Se§ora de B¢toa.;-6,916056;39,004094
2.05.08.05;Colarnum;;;
2.05.08.06;Sallaecus;;;
2.05.08.07;Ammaea;near S∆o Salvador de Armenha;-7,388797;39,373269
2.05.08.08;Ebora [Lusitaniae];êvora;-7,909247;38,572092
2.05.08.09;Norba Caesarina;C†ceres;-6,371153;39,473214
2.05.08.10;Licinniana;;;
2.05.08.11;Augusta Emerita;MÇrida;-6,34435;38,916503
2.05.08.12;Evandria;Evandria;-6,454572;38,856789
2.05.08.13;Geraea;;;
2.05.08.14;Caecilia Metellina;Medell°n;-5,956114;38,966228
2.05.08.15;Capasa;;;
2.05.09.02;Laccia Oppidana;;;
2.05.09.03;Cottaeobriga;;;
2.05.09.04;Salmantica;Salamanca;-5,667142;40,960497
2.05.09.05;Augustobriga [Lusitaniae];Talavera de la Reina;-4,833311;39,959228
2.05.09.06;Ocelum;Zamora;-5,743803;41,502225
2.05.09.07;Capara;Ventas de C†parra;-6,101111;40,166944
2.05.09.08;Manliana;;;
2.05.09.09;Laconimurgi;Navalvillar de Pela;-5,468869;39,091072
2.05.09.10;Deobriga;;;
2.05.09.11;Obila;;;
2.05.09.12;Lama;;;
2.05.10.02;Londobris;Berlenga Grande;-9,510358;39,415397
2.06.01.05;Mouth of the Auus;Mouth of the Rio Ave;-8,744131;41,346606
2.06.01.06;Cape Auaron ;near P¢voa de Varzim;-8,788453;41,413089
2.06.01.07;Mouth of the Nebis;Mouth of the Rio Neiva;-8,807792;41,611908
2.06.01.08;Mouth of the Limia;Mouth of the Rio Limia;-8,832853;41,685639
2.06.01.09;Mouth of the Minius;Mouth of the Rio Minho/Mi§o;-8,868175;41,867572
2.06.01.10;Source of the Minius;;;
2.06.02.02;Cape Orouion ;near Pen°nsula do Morrazo;-8,847467;42,271764
2.06.02.03;Mouth of the Ouia;Mouth of the Rio Ulla;-8,851356;42,595247
2.06.02.05;Mouth of the Tamara;near R°a de Muros e Noia;-9,005797;42,750222
2.06.02.06;Harbor of the Artabri;near R°a de Corcubi¢n;-9,234653;42,915983
2.06.02.07;Cape Nerion;Cabo Touri§†n;-9,299642;43,056125
2.06.03.03;Altars of Sestius;;;
2.06.03.04;Mouth of the Vir;;;
2.06.03.05;cape [after the Vir];;;
2.06.04.03;Flavium Brigantium;La Coru§a;-8,401058;43,378136
2.06.04.04;Cape Lapatia Korou or Trileukon;Cabo Ortegal;-7,869531;43,774689
2.06.04.05;Mouth of the Mearus;Mouth of the Rio Mera;-7,870481;43,695042
2.06.04.06;Mouth of the Nabios;;;
2.06.04.07;Mouth of the Naviallouiìnos;Mouth of the R°o Navia;-6,725169;43,555567
2.06.05.02;Flavionavia;Navia;-6,722533;43,539506
2.06.05.03;Mouth of the Naelo;Mouth of the R°o Nal¢n;-6,076844;43,564244
2.06.06.02;Noiga Oukesia;;;
2.06.07.02;Mouth of the Nerva;Mouth of the R°o Nervi¢n;-3,023156;43,332475
2.06.07.03;Flaviobriga;Castro Urdiales;-3,219683;43,382744
2.06.08.02;Mouth of the Deva;Mouth of the Deba ibaia;-2,353872;43,299475
2.06.09.02;Menosca;;;
2.06.10.02;Oiasso City;Oiartzun;-1,862294;43,298472
2.06.10.03;Cape Oiasso;Higuer Lurmuturra;-1,791319;43,395997
2.06.11.06;Middle of the Pyrenees ;;;
2.06.13.02;Urci;Pechina;-2,450464;36,912731
2.06.14.02;Lucentum;Alicante;-0,478314;38,348803
2.06.14.03;Carthago Nova;Carthagena;-0,983944;37,602561
2.06.14.04;Cape Scombraria ;Cabo de Palos;-0,689994;37,635086
2.06.14.05;Mouth of the Tader;Mouth of the Segura;-0,642814;38,111242
2.06.14.06;Alonis;near Santa Pola;-0,560706;38,191892
2.06.14.07;Mouth of the Saetabis;Mouth of the Albaida;-0,211267;39,0767
2.06.14.08;Ilicitanus Harbor;Gulf of Santa Pola;-0,57695;38,189144
2.06.14.09;Mouth of the Sucro;Mouth of the X£quer;-0,244444;39,153056
2.06.15.02;Mouth of the Pallantia;Mouth of the Palantia;-0,211944;39,6725
2.06.15.03;Mouth of the Turia;Mouth of the Turia;0,339167;39,426667
2.06.15.04;Dianium;DÇnia;0,1075;38,843056
2.06.16.02;Cape Tenebrium ;Cabo de la Nao;0,225833;38,741111
2.06.16.03;Tenebrius Harbor;Gulf of X†bia;0,200853;38,779486
2.06.16.04;Mouth of the Ebro;Mouth of the Ebro;0,612222;40,705833
